MSTI_VAR,COU,Year,Value
G_PPP,NOR,2009,4614.23756107032
G_PPP,NOR,2010,4676.06699870449
G_PPP,NOR,2011,5002.9420238523
G_PPP,NOR,2012,5316.26048136437
G_PPP,NOR,2013,5620.36107937889
G_PPP,NOR,2014,5805.58773914025
G_PPP,NOR,2015,6061.82754730519
G_PPP,NOR,2016,6308.04912906409
G_PPP,NOR,2017,7095.11846366458
G_PPP,NOR,2018,7582.96129083597
G_PPP,NOR,2019,7869.41393383761
G_PPP,POL,2000,2617.43180713818
G_PPP,POL,2001,2644.80057628473
G_PPP,POL,2002,2512.50841507659
G_PPP,POL,2003,2523.46389048953
G_PPP,POL,2004,2814.69973318527
G_PPP,POL,2005,2984.85505321383
G_PPP,POL,2006,3180.25864849086
G_PPP,POL,2007,3595.00047954171
G_PPP,POL,2008,4183.05289148763
G_PPP,POL,2009,4855.97449175055
G_PPP,POL,2010,5775.74745102947
G_PPP,POL,2011,6487.48023867761
G_PPP,POL,2012,7990.84647142063
G_PPP,POL,2013,8185.83158667206
G_PPP,POL,2014,9149.34932234557
G_PPP,POL,2015,10232.0166122894
G_PPP,POL,2016,10354.6579653253
G_PPP,POL,2017,11807.1851600694
G_PPP,POL,2018,14680.7780373703
G_PPP,POL,2019,17164.0855474782
G_PPP,PRT,2000,1402.16366301732
G_PPP,PRT,2001,1548.13419998866
G_PPP,PRT,2002,1531.07599968806
G_PPP,PRT,2003,1520.65523335094
G_PPP,PRT,2004,1640.80673920414
G_PPP,PRT,2005,1808.19846009672
G_PPP,PRT,2006,2475.64583975913
G_PPP,PRT,2007,3046.20917330497
G_PPP,PRT,2008,4063.63638715861
G_PPP,PRT,2009,4421.34585042067
G_PPP,PRT,2010,4428.76359764411
G_PPP,PRT,2011,4118.95614501024
G_PPP,PRT,2012,3832.411055285
G_PPP,PRT,2013,3869.84632422338
G_PPP,PRT,2014,3856.22831528037
G_PPP,PRT,2015,3819.78435318255
G_PPP,PRT,2016,4179.90958838272
G_PPP,PRT,2017,4490.45009147303
G_PPP,PRT,2018,4848.03640157347
G_PPP,PRT,2019,5303.75956784636
G_PPP,SVK,2000,391.336533259735
G_PPP,SVK,2001,416.339209297626
G_PPP,SVK,2002,403.087035657801
G_PPP,SVK,2003,427.38972386154
G_PPP,SVK,2004,409.227366920935
G_PPP,SVK,2005,441.026272517313
G_PPP,SVK,2006,481.956901334906
G_PPP,SVK,2007,509.761533242503
G_PPP,SVK,2008,588.837760116344
G_PPP,SVK,2009,588.128474458587
G_PPP,SVK,2010,829.911521392843
G_PPP,SVK,2011,925.025999703373
G_PPP,SVK,2012,1159.91408245351
G_PPP,SVK,2013,1243.83344504143
G_PPP,SVK,2014,1379.5145190257
G_PPP,SVK,2015,1886.43078475233
G_PPP,SVK,2016,1273.5343239783
G_PPP,SVK,2017,1450.24506237985
G_PPP,SVK,2018,1442.12000626481
G_PPP,SVK,2019,1468.57876411896
G_PPP,ESP,2000,7733.07420642885
G_PPP,ESP,2001,8331.58108514078
G_PPP,ESP,2002,9690.7206181567
G_PPP,ESP,2003,10805.9588914259
G_PPP,ESP,2004,11670.4608288455
G_PPP,ESP,2005,13251.1485240732
G_PPP,ESP,2006,16031.8761443974
G_PPP,ESP,2007,18194.9725676133
G_PPP,ESP,2008,20253.6999831469
G_PPP,ESP,2009,20304.4440749467
G_PPP,ESP,2010,20084.065769332
G_PPP,ESP,2011,19862.3693818155
G_PPP,ESP,2012,19269.1642087149
G_PPP,ESP,2013,19282.4478104898
G_PPP,ESP,2014,19356.217195063
G_PPP,ESP,2015,19815.2653142399
G_PPP,ESP,2016,20633.495716403
G_PPP,ESP,2017,22293.2281750545
G_PPP,ESP,2018,23650.8420959392
G_PPP,ESP,2019,24874.1617324034
G_PPP,SWE,2001,10317.8694049848
G_PPP,SWE,2003,10191.1700234214
G_PPP,SWE,2004,10226.9284920756
G_PPP,SWE,2005,10388.2382804029
G_PPP,SWE,2006,11889.7208483322
G_PPP,SWE,2007,12086.4193273263
G_PPP,SWE,2008,13487.3209772274
G_PPP,SWE,2009,12726.0177382972
G_PPP,SWE,2010,12553.816403762
G_PPP,SWE,2011,13433.790345158
G_PPP,SWE,2012,13970.4492896145
G_PPP,SWE,2013,14496.3516343807
G_PPP,SWE,2014,14191.1476079333
G_PPP,SWE,2015,15489.0516780699
G_PPP,SWE,2016,16250.5635231042
G_PPP,SWE,2017,17569.7759964233
G_PPP,SWE,2018,18097.0069197953
G_PPP,SWE,2019,19268.9657281243
G_PPP,CHE,2000,5969.99386569848
G_PPP,CHE,2004,7736.78702608474
G_PPP,CHE,2008,10917.257814354
G_PPP,CHE,2012,14739.9992659915
G_PPP,CHE,2015,17850.1290662011
G_PPP,CHE,2017,18565.6065410269
G_PPP,TUR,2000,2836.29139769004
G_PPP,TUR,2001,3113.80254083016
G_PPP,TUR,2002,3117.60695044307
G_PPP,TUR,2003,2979.88795985462
G_PPP,TUR,2004,3654.65212855591
G_PPP,TUR,2005,4595.602106688
G_PPP,TUR,2006,5219.72796021159
G_PPP,TUR,2007,7146.38601694169
G_PPP,TUR,2008,7833.36940809875
G_PPP,TUR,2009,8946.6638055761
G_PPP,TUR,2010,10077.7707527732
G_PPP,TUR,2011,11544.6388546822
G_PPP,TUR,2012,12807.9459783365
G_PPP,TUR,2013,13834.8176336278
G_PPP,TUR,2014,15933.0476097619
G_PPP,TUR,2015,17734.2713690851
G_PPP,TUR,2016,19855.1373966573
G_PPP,TUR,2017,21572.1834957531
G_PPP,TUR,2018,23590.1579987044
G_PPP,TUR,2019,24243.3955933493
G_PPP,GBR,2000,25156.6949160912
G_PPP,GBR,2001,26334.2078582068
G_PPP,GBR,2002,27871.3625944296
G_PPP,GBR,2003,28564.7668696215
G_PPP,GBR,2004,29412.8614364588
G_PPP,GBR,2005,30639.6514363882
G_PPP,GBR,2006,33269.9055156966
G_PPP,GBR,2007,35201.835037422
G_PPP,GBR,2008,36542.0186261207
G_PPP,GBR,2009,36450.6418747394
G_PPP,GBR,2010,37568.378399766
G_PPP,GBR,2011,38778.5866235766
G_PPP,GBR,2012,38490.1618178652
G_PPP,GBR,2013,41532.087885621
G_PPP,GBR,2014,43811.1309640808
G_PPP,GBR,2015,45665.9464054629
G_PPP,GBR,2016,48111.3424864285
G_PPP,GBR,2017,50845.0956176389
G_PPP,GBR,2018,54234.2979869145
G_PPP,GBR,2019,56935.7472088147
G_PPP,USA,2000,269513
G_PPP,USA,2001,280238
G_PPP,USA,2002,279891
G_PPP,USA,2003,293852
G_PPP,USA,2004,305640
G_PPP,USA,2005,328128
G_PPP,USA,2006,353328
G_PPP,USA,2007,380316
G_PPP,USA,2008,407238
G_PPP,USA,2009,406405
G_PPP,USA,2010,410093
